Attribute;Attribute  Definition;Type;Mandatory;code / detail;Comment;Exclude
Expenses_included;;code;No;(?i)(Yes)|(No);;
Region_of_Residence;;code;No;;;
Residence_class;;Free Text;No;;;
Dependent_type;;code;No;(Insured)|(spouse)|(child);;
Marital_status;;code;No;(Unmarried)|(married)|(widowed);;
Number_of_children;;Numeric+;No;integer;;
Annual_Salary_Band_Upper_Limit;;Numeric+;No;integer/not null;;
Employment_Status;;code;No;(employed)|(unemployed);;
Occupation;;Free Text;No;;;
Occupation_Class_Client;;Numeric+;No;integer/not null;;
Occupation_Class_SCOR;;Numeric+;No;integer/not null;;
Smoker_status;;code;No;(Smoker)|(Non Smoker);;
Smoker_status_detailed;;Free Text;No;;;
BMI_Upper_Band;;Numeric+;No;;;
Age_at_Commencement_Upper_Band;;Numeric+;No;;;
Country_of_Residence;;refdata;No;;;
Benefit_geographic_coverage;;Free Text;No;;;
Commission_earning_duration;;code;No;(1Y)|(2Y)|(3Y)|(4Y)|(5Y)|(6Y)|(7Y)|(8Y)|(9Y)|(10Y)|(whole life);;
Distribution_Channel;;code;No;(Independent Agent)|(Tied Agent)|(Company Agent)|(Bancassurance)|(Direct Inbound)|(Direct Outbound)|(Online Aggregator)|(Online Companysite)|(Other);;
Distribution_Channel_detail;;Free Text;No;;;
Distributor_Group_Name;;Free Text;No;;;
Distributor_Name;;Free Text;No;;;
Industry_Sector_code;;code;No;;;
Industry_Sector_detail;;Free Text;No;;;
Benefit_Term_Type;;code;No;(years)|(permanent)|(max age);;
Underwriting_method;;code;No;(GI)|(SI)|(Standard)|(Strict)|(TeleUW)|(eUW)|(AccUW);;
Underwriting_provider;;code;No;(Velogica)|(Other);;
Med_Risk_Class_Client;;code;No;(N1)|(N2)|(N3)|(N4)|(N5)|(N6)|(N7)|(N8)|(N9)|(S1)|(S2)|(S3)|(S4)|(S5)|(S6)|(S7)|(S8)|(S9);;
Med_Risk_Class_SCOR;;code;No;(N1)|(N2)|(N3)|(N4)|(N5)|(N6)|(N7)|(N8)|(N9)|(S1)|(S2)|(S3)|(S4)|(S5)|(S6)|(S7)|(S8)|(S9);;
Med_Risk_Class_Other;;Free Text;No;;;
Socio_economic_class;;Numeric;No;;;
Entry_Year;;Numeric;No;;;
Subfund;;Free Text;No;;;
Cession_type;;code;No;(Auto)|(Fac)|(Fac-Ob);;
Conversion_policy;;code;No;(?i)(Yes)|(No);;
Duration_at_conversion;;Numeric+;No;integer/not null;;
Benefit_Profile;;code;No;(level)|(decreasing)|(increasing);;
Benefit_Change_R_Upper_Band_SCOR;;Numeric+;No;;;
Insurance_Premium_Profile;;code;No;(Level)|(Yearly increasing)|(5-yearly increasing)|(Increasing other);;
Insurance_Premium_Frequency;;code;No;(weekly)|(monthly)|(quarterly)|(biannually)|(annually)|(single);;
Convertibility_Option;;code;No;(Chosen)|(Not chosen)|(Available to all);;
Renewal_Option;;code;No;(Chosen)|(Not chosen)|(Available to all);;
Guaranteed_Insurability_Option;;code;No;(Chosen)|(Not chosen)|(Available to all);;
Benefit_exclusions;;code;No;(?i)(Yes)|(No);;
Rated_Status;;code;No;(?i)(Yes)|(No);;
Multiplicative_Rated_Status;;code;No;(?i)(Yes)|(No);;
Additive_Rated_Status;;code;No;(?i)(Yes)|(No);;
Segment_Type;;code;No;(Base)|(Rider cash)|(Rider WOP);;
Waiting_Period_1;;Numeric+;No;integer/not null;;
Waiting_Period_1_Type;;Code;No;(All)|(All excl acc)|(All excl acc and mental)|(Mental)|(Accidental);;
Waiting_Period_1_Freq;;Code;No;(weekly)|(monthly)|(quarterly)|(biannually)|(annually);;
Waiting_Period_2;;Numeric+;No;integer/not null;;
Waiting_Period_2_Type;;Code;No;(All)|(All excl acc)|(All excl acc and mental)|(Mental)|(Accidental);;
Waiting_Period_2_Freq;;Code;No;(weekly)|(monthly)|(quarterly)|(biannually)|(annually);;
Waiting_Period_3;;Numeric+;No;integer/not null;;
Waiting_Period_3_Type;;Code;No;(All)|(All excl acc)|(All excl acc and mental)|(Mental)|(Accidental);;
Waiting_Period_3_Freq;;Code;No;(weekly)|(monthly)|(quarterly)|(biannually)|(annually);;
Mult_Rating_Upper_Band_1;;Numeric+;No;;;
Add_Rating_Upper_Band_1;;Numeric+;No;;;
Mult_Rating_Upper_Band_2;;Numeric+;No;;;
Add_Rating_Upper_Band_2;;Numeric+;No;;;
Dataquality_Id;;code;No;;;
Buyback_Option;;code;No;(?i)(Yes)|(No);;
Buyback_Option_Type;;code;No;(Main)|(Accelerated)|(Main + Accelerated);;
Child_Benefit;;code;No;(?i)(Yes)|(No);;
Child_Benefit_Type;;code;No;(Standard)|(Enhanced );;
CI_TPD_benefit;;code;No;(?i)(Yes)|(No);;
Acceleration_Benefit;;code;No;(?i)(Yes)|(No);;
TPD_Definition;;code;No;(Any)|(Suited)|(Own)|(ADL)|(ADW);;
Level_term_status;;code;No;(Level term)|(Last duration)|(Post level term);;
Paid_up_status;;code;No;(Non paid-up)|(Paid-up);;
Buyback_status;;code;No;(pre buyback)|(post buyback);;
Retro_Legal_Entity_status;;code;No;(Internal)|(External);;
Retro_Legal_Entity;;refdata;No;;;
Retro_Legal_Entity_Omega_code;;refdata;No;;;
Retro_share_type;;code;No;(QS)|(XS);;
Cause_of_Event_1;;code;No;(Claim Death)|(Claim Recovery)|(Claim Withdrawal)|(Lapse)|(Withdrawal)|(Surrender)|(Non-renewal)|(Conversion)|(Recapture)|(Infectious Diseases)|(Neoplasms)|(Blood Diseases)|(Nutritional and Endocrine Diseases)|(Mental Disorders)|(Nervous System Diseases)|(Eye Diseases)|(Ear Diseases)|(Cardio Vascular Diseases)|(Respiratory System Diseases)|(Digestive System Diseases)|(Skin Diseases)|(Musculoskeletal System Diseases)|(Genitourinary System Diseases)|(Pregnancy and Childbirth)|(Perinatal Period Diseases)|(Congenital Anomalies)|(Undefined conditions)|(Injury and Poisoning)|(Accidents and Suicides)|(Health Services)|(Special Purposes);;
Cause_of_Event_1_det;;code;No;(ICD 3 digits)|(Switched product)|(Switched company)|(Affordability)|(Repayment Loan)|(Broker advice);;
Cause_of_Event_1_other;;Free text;No;;;
Cause_of_Event_2;;code;No;(Claim Death)|(Claim Recovery)|(Claim Withdrawal)|(Lapse)|(Withdrawal)|(Surrender)|(Non-renewal)|(Conversion)|(Recapture)|(Infectious Diseases)|(Neoplasms)|(Blood Diseases)|(Nutritional and Endocrine Diseases)|(Mental Disorders)|(Nervous System Diseases)|(Eye Diseases)|(Ear Diseases)|(Cardio Vascular Diseases)|(Respiratory System Diseases)|(Digestive System Diseases)|(Skin Diseases)|(Musculoskeletal System Diseases)|(Genitourinary System Diseases)|(Pregnancy and Childbirth)|(Perinatal Period Diseases)|(Congenital Anomalies)|(Undefined conditions)|(Injury and Poisoning)|(Accidents and Suicides)|(Health Services)|(Special Purposes);;
Cause_of_Event_2_det;;code;No;(ICD 3 digits)|(Switched product)|(Switched company)|(Affordability)|(Repayment Loan)|(Broker advice);;
Cause_of_Event_2_other;;Free text;No;;;
Disability_Degree;;Code;No;(total)|(partial);;
Disability_Percentage_Upper_Band;;Numeric;No;;;
Claim_Status;;code;No;(pending)|(approved)|(paid);;
Claim_Currency;;refdata;No;;;
Claim_sequence;;Numeric+;No;integer/not null;;
Policy_dummy_text_1;;Free Text;No;;;
Policy_dummy_text_2;;Free Text;No;;;
Policy_dummy_text_3;;Free Text;No;;;
Policy_dummy_text_4;;Free Text;No;;;
Policy_dummy_text_5;;Free Text;No;;;
Policy_dummy_value_1;;Numeric;No;;;
Policy_dummy_value_2;;Numeric;No;;;
Policy_dummy_value_3;;Numeric;No;;;
Policy_dummy_value_4;;Numeric;No;;;
Policy_dummy_value_5;;Numeric;No;;;
Duration_Year;;Numeric+;No;;;
Benefit_Change_Rate_Type;;code;No;(?i)(Simple)|(Compound)|(Loan Interest);;
Level_term;;code;No;(?i)(Yes)|(No);;
Level_term_years;;Numeric+;No;;;
Min_Benefit_Term;;Numeric+;No;integer/not null;;
Max_Benefit_Term;;Numeric+;No;integer/not null;;
Benefit_Change_Rate_Annual;;Numeric+;No;;;
Benefit_Term_Years;;Numeric+;No;integer/not null;;
Temp_Mult_Extra_Rating_Term_1;;Numeric+;No;integer/not null;;
Temp_Add_Extra_Rating_Term_1;;Numeric+;No;integer/not null;;
Temp_Mult_Extra_Rating_Term_2;;Numeric+;No;integer/not null;;
Temp_Add_Extra_Rating_Term_2;;Numeric+;No;integer/not null;;
Data_Line;;Numeric+;No;integer;;
